observation,name,date,time
3,TUVT11170327,10/1/2018,11:01:50
4,TUVT20040435,10/1/2018,10:50:17
5,TFIT15260826,10/1/2018,12:25:47
6,TFIT16300632,10/1/2018,12:17:47
7,TFIT15260826,10/1/2018,10:42:05
8,TUVT17230223,10/1/2018,10:50:53
9,TUVT11170327,10/1/2018,08:51:17
10,TUVT17230223,10/1/2018,11:44:22
11,TUVT20250333,10/1/2018,11:17:59
12,TUVT06170419,10/1/2018,11:09:54
13,TFIT16240724,10/1/2018,12:18:43
14,TFIT15240720,10/1/2018,10:27:09
15,TUVT10100321,10/1/2018,08:00:01
16,TFIT16280428,10/1/2018,09:52:40
17,TFIT08261125,10/1/2018,12:07:21
18,TFIT06211118,10/1/2018,12:41:14
19,TFIT06110919,10/1/2018,08:26:41
20,EMPTY,10/1/2018,08:03:47
21,TUVT10100321,10/1/2018,11:43:50
22,TUVT20040435,10/1/2018,10:13:46
23,TUVT20250333,10/1/2018,12:53:58
24,TUVT17230223,10/1/2018,08:51:50
25,TUVT06170419,10/1/2018,12:51:05
1,TUVT20040435,11/1/2018,12:15:11
2,TFIT08261125,11/1/2018,10:37:51
3,TFIT16300632,11/1/2018,09:23:30
4,EMPTY,11/1/2018,08:00:16
5,TFIT15260826,11/1/2018,11:22:08
6,TUVT17230223,11/1/2018,11:25:53
7,TUVT11170327,11/1/2018,12:39:57
8,TUVT20040435,11/1/2018,12:21:23
9,TFIT16300632,11/1/2018,09:25:16
10,TFIT15260826,11/1/2018,09:50:59
11,TUVT10100321,11/1/2018,08:34:12
12,TUVT11070525,11/1/2018,09:24:29
13,TUVT06170419,11/1/2018,12:08:04
14,TFIT06211118,11/1/2018,09:46:38
15,TFIT10040522,11/1/2018,11:44:24
16,TFIT06110919,11/1/2018,12:15:50
17,TFIT16180930,11/1/2018,09:08:22
18,TFIT15240720,11/1/2018,12:05:01
19,TUVT20250333,11/1/2018,09:25:32
20,TFIT16240724,11/1/2018,12:05:26
21,TUVT11070525,11/1/2018,09:33:53
22,TUVT17230223,11/1/2018,08:22:09
23,TUVT20250333,11/1/2018,11:43:15
24,TUVT06170419,11/1/2018,08:37:36
25,TUVT10100321,11/1/2018,11:56:19
1,TFIT15260826,12/1/2018,09:46:12
2,TFIT16300632,12/1/2018,08:10:07
3,TUVT17230223,12/1/2018,12:12:04
4,TFIT08261125,12/1/2018,12:18:48
5,TUVT20040435,12/1/2018,12:34:53
6,TUVT11170327,12/1/2018,08:07:08
7,TUVT11170327,12/1/2018,12:11:09
8,TUVT17230223,12/1/2018,12:09:27
9,TFIT15260826,12/1/2018,10:15:21
10,TFIT15260826,12/1/2018,12:37:17
11,TUVT20250333,12/1/2018,11:18:48
12,TFIT06211118,12/1/2018,08:43:16
13,TFIT16240724,12/1/2018,11:59:20
14,TUVT11070525,12/1/2018,09:21:39
15,TFIT16180930,12/1/2018,09:26:23
16,TUVT06170419,12/1/2018,09:21:52
17,TFIT11241018,12/1/2018,11:29:03
18,TFIT06110919,12/1/2018,11:16:35
19,TFIT15240720,12/1/2018,12:19:18
20,TUVT10100321,12/1/2018,09:44:18
21,TUVT10100321,12/1/2018,11:54:28
22,TUVT20250333,12/1/2018,08:17:02
23,TUVT17230223,12/1/2018,09:53:13
24,TUVT20040435,12/1/2018,10:07:45
25,TUVT11070525,12/1/2018,11:51:11
1,TFIT08261125,15/1/2018,09:08:47
2,TUVT20040435,15/1/2018,09:31:26
3,TUVT17230223,15/1/2018,10:17:43
4,TFIT16300632,15/1/2018,12:48:45
5,TUVT11170327,15/1/2018,11:20:40
6,TFIT15260826,15/1/2018,10:23:10
7,TUVT11170327,15/1/2018,10:08:11
8,TUVT20040435,15/1/2018,12:20:32
9,TFIT15260826,15/1/2018,09:32:44
10,TFIT16300632,15/1/2018,08:34:02
11,TFIT11241018,15/1/2018,09:15:34
12,TFIT10040522,15/1/2018,12:53:58
13,TFIT16180930,15/1/2018,09:59:51
14,TFIT06110919,15/1/2018,09:51:06
15,TUVT20250333,15/1/2018,09:07:08
16,TUVT06170419,15/1/2018,11:07:28
17,TUVT11070525,15/1/2018,12:15:13
18,TFIT06211118,15/1/2018,09:06:15
19,TFIT16240724,15/1/2018,11:34:29
20,TFIT15240720,15/1/2018,10:23:08
21,TUVT17230223,15/1/2018,10:36:21
22,TUVT10100321,15/1/2018,08:08:55
23,TUVT06170419,15/1/2018,11:21:09
24,TUVT20250333,15/1/2018,11:03:17
25,TUVT11170327,15/1/2018,10:55:59
1,TUVT17230223,16/1/2018,10:16:47
2,TFIT15260826,16/1/2018,08:57:48
3,TFIT08261125,16/1/2018,12:39:17
4,TFIT16300632,16/1/2018,11:46:24
5,TUVT11170327,16/1/2018,11:57:10
6,TUVT20040435,16/1/2018,12:00:20
7,TUVT20040435,16/1/2018,12:14:39
8,TUVT20040435,16/1/2018,12:08:31
9,TUVT11170327,16/1/2018,12:39:16
10,TFIT16300632,16/1/2018,10:55:45
11,TUVT11070525,16/1/2018,11:06:37
12,TFIT16240724,16/1/2018,08:44:16
13,TFIT11241018,16/1/2018,10:56:02
14,TFIT16180930,16/1/2018,09:50:17
15,TFIT15240720,16/1/2018,11:35:44
16,TUVT20250333,16/1/2018,10:47:21
17,TFIT06211118,16/1/2018,08:43:30
18,TUVT10100321,16/1/2018,10:40:37
19,TFIT06110919,16/1/2018,08:34:55
20,TUVT06170419,16/1/2018,11:51:02
21,TUVT20040435,16/1/2018,12:40:40
22,TUVT10100321,16/1/2018,12:34:46
23,TUVT17230223,16/1/2018,09:10:54
24,TUVT11170327,16/1/2018,12:24:47
25,TUVT11070525,16/1/2018,11:00:14
1,TUVT20040435,17/1/2018,10:39:04
2,TFIT08261125,17/1/2018,11:15:03
3,TFIT15260826,17/1/2018,12:46:03
4,TUVT17230223,17/1/2018,10:30:49
5,TUVT11170327,17/1/2018,09:57:52
6,TFIT16300632,17/1/2018,11:05:00
7,TUVT11170327,17/1/2018,08:25:57
8,TFIT15260826,17/1/2018,12:56:55
9,TUVT20040435,17/1/2018,10:54:45
10,TUVT20040435,17/1/2018,08:58:04
11,TUVT20250333,17/1/2018,10:19:33
12,TFIT06110919,17/1/2018,08:15:52
13,TFIT11241018,17/1/2018,12:51:47
14,TFIT16180930,17/1/2018,08:15:55
15,TUVT10100321,17/1/2018,08:50:00
16,TFIT10040522,17/1/2018,09:54:21
17,TFIT06211118,17/1/2018,08:01:25
18,TFIT16280428,17/1/2018,08:39:35
19,TUVT06170419,17/1/2018,10:19:19
20,TFIT16240724,17/1/2018,11:57:29
21,TUVT20250333,17/1/2018,08:54:05
22,TUVT20040435,17/1/2018,09:25:05
23,TUVT11170327,17/1/2018,12:44:56
24,TUVT10100321,17/1/2018,12:12:11
25,TUVT17230223,17/1/2018,11:39:35
1,TFIT15260826,18/1/2018,11:10:01
2,TFIT08261125,18/1/2018,12:05:38
3,TFIT16300632,18/1/2018,10:34:46
4,TUVT11170327,18/1/2018,12:12:54
5,TUVT17230223,18/1/2018,11:12:11
6,TUVT20040435,18/1/2018,11:21:17
7,TFIT08261125,18/1/2018,11:54:58
8,TUVT20040435,18/1/2018,08:53:23
9,TFIT08261125,18/1/2018,09:25:35
10,TUVT17230223,18/1/2018,10:02:31
11,TFIT11241018,18/1/2018,08:09:48
12,TFIT10040522,18/1/2018,11:13:11
13,TFIT06211118,18/1/2018,09:02:21
14,TUVT10100321,18/1/2018,10:29:08
15,TUVT20250333,18/1/2018,09:36:01
16,TUVT11070525,18/1/2018,10:15:05
17,TFIT16180930,18/1/2018,10:46:52
18,TUVT06170419,18/1/2018,12:37:49
19,TFIT16240724,18/1/2018,09:58:34
20,TFIT06110919,18/1/2018,11:18:29
21,TUVT20040435,18/1/2018,12:45:37
22,TUVT20250333,18/1/2018,11:30:41
23,TUVT17230223,18/1/2018,10:29:52
24,TUVT06170419,18/1/2018,09:21:45
25,TUVT11070525,18/1/2018,08:50:15
1,TUVT20040435,19/1/2018,10:53:04
2,TFIT15260826,19/1/2018,12:19:50
3,TFIT16300632,19/1/2018,08:37:36
4,TUVT11170327,19/1/2018,10:26:34
5,TUVT17230223,19/1/2018,08:19:38
6,TFIT08261125,19/1/2018,11:54:11
7,TUVT17230223,19/1/2018,12:26:06
8,TUVT20040435,19/1/2018,12:24:07
9,TFIT15260826,19/1/2018,08:49:11
10,TUVT11170327,19/1/2018,12:03:39
11,TFIT15240720,19/1/2018,12:41:20
12,TUVT20250333,19/1/2018,08:37:16
13,TUVT10100321,19/1/2018,10:59:06
14,TFIT16180930,19/1/2018,11:06:46
15,TFIT10040522,19/1/2018,11:48:52
16,TFIT06110919,19/1/2018,12:55:47
17,TUVT11070525,19/1/2018,12:08:50
18,TFIT06211118,19/1/2018,09:59:56
19,TFIT11241018,19/1/2018,11:51:31
20,TFIT16280428,19/1/2018,11:09:42
21,TUVT10100321,19/1/2018,12:47:31
22,TUVT17230223,19/1/2018,10:54:31
23,TUVT11170327,19/1/2018,11:04:38
24,TUVT20040435,19/1/2018,09:59:29
25,TUVT06170419,19/1/2018,11:42:49
1,TFIT08261125,22/1/2018,10:38:17
2,TFIT15260826,22/1/2018,12:21:26
3,TUVT11170327,22/1/2018,08:14:05
4,TFIT16300632,22/1/2018,11:07:13
5,TUVT20040435,22/1/2018,08:07:43
6,TUVT17230223,22/1/2018,09:12:30
7,EMPTY,22/1/2018,08:02:00
8,TUVT20040435,22/1/2018,08:54:11
9,TFIT08261125,22/1/2018,11:29:55
10,TFIT16300632,22/1/2018,11:18:17
11,TFIT11241018,22/1/2018,11:23:48
12,TFIT16180930,22/1/2018,10:26:09
13,TUVT06170419,22/1/2018,10:02:52
14,TFIT16280428,22/1/2018,09:22:03
15,TUVT20250333,22/1/2018,12:57:17
16,TFIT10040522,22/1/2018,12:47:56
17,TUVT11070525,22/1/2018,09:47:47
18,TFIT06110919,22/1/2018,10:02:13
19,TFIT15240720,22/1/2018,11:22:30
20,TFIT06211118,22/1/2018,12:45:49
21,TUVT06170419,22/1/2018,12:54:12
22,TUVT17230223,22/1/2018,08:14:40
23,TUVT20250333,22/1/2018,09:45:15
24,TUVT10100321,22/1/2018,09:10:53
25,TUVT11170327,22/1/2018,12:05:14
1,TFIT15260826,23/1/2018,12:32:11
2,TUVT20040435,23/1/2018,12:14:34
3,TFIT08261125,23/1/2018,08:55:38
4,EMPTY,23/1/2018,08:01:50
5,TUVT17230223,23/1/2018,12:36:32
6,TUVT11170327,23/1/2018,10:42:42
7,TFIT16300632,23/1/2018,12:45:28
8,TFIT15260826,23/1/2018,09:42:44
9,TFIT15260826,23/1/2018,08:16:45
10,TUVT11170327,23/1/2018,10:38:46
11,TFIT15240720,23/1/2018,11:16:53
12,TFIT06211118,23/1/2018,12:47:41
13,TUVT11070525,23/1/2018,12:52:23
14,TFIT16180930,23/1/2018,12:38:38
15,TFIT16280428,23/1/2018,11:23:52
16,TFIT06110919,23/1/2018,09:47:50
17,TUVT06170419,23/1/2018,08:31:02
18,TUVT20250333,23/1/2018,10:08:07
19,TFIT11241018,23/1/2018,08:59:05
20,TFIT10040522,23/1/2018,12:52:30
21,TUVT20250333,23/1/2018,11:38:05
22,TUVT06170419,23/1/2018,11:31:52
23,TUVT10100321,23/1/2018,11:04:10
24,TUVT20040435,23/1/2018,11:18:45
25,TUVT11170327,23/1/2018,12:37:47
1,TUVT20040435,24/1/2018,09:51:54
2,TFIT15260826,24/1/2018,09:02:09
3,TUVT11170327,24/1/2018,08:32:51
4,TFIT08261125,24/1/2018,11:00:29
5,TUVT17230223,24/1/2018,11:22:47
6,TFIT16300632,24/1/2018,09:50:19
7,TFIT15260826,24/1/2018,12:11:46
8,TFIT08261125,24/1/2018,08:13:40
9,TUVT20040435,24/1/2018,12:28:44
10,TUVT20040435,24/1/2018,10:11:49
11,TFIT15240720,24/1/2018,12:13:15
12,TUVT20250333,24/1/2018,12:02:59
13,TFIT11241018,24/1/2018,08:57:57
14,TUVT06170419,24/1/2018,10:12:55
15,TFIT06110919,24/1/2018,09:09:48
16,TFIT06211118,24/1/2018,08:42:11
17,TUVT10100321,24/1/2018,09:12:52
18,TFIT16180930,24/1/2018,09:32:23
19,TFIT16280428,24/1/2018,11:54:06
20,TFIT16240724,24/1/2018,10:04:11
21,TUVT11170327,24/1/2018,11:04:54
22,TUVT10100321,24/1/2018,09:49:07
23,TUVT20040435,24/1/2018,12:34:11
24,TUVT11070525,24/1/2018,09:27:51
25,TUVT17230223,24/1/2018,12:34:26
1,TFIT08261125,25/1/2018,12:41:42
2,TFIT15260826,25/1/2018,09:48:27
3,TUVT20040435,25/1/2018,08:21:10
4,TFIT16300632,25/1/2018,09:37:27
5,TUVT17230223,25/1/2018,09:47:34
6,TUVT11170327,25/1/2018,09:43:33
7,TUVT20040435,25/1/2018,10:28:21
8,TFIT08261125,25/1/2018,11:49:07
9,TUVT20040435,25/1/2018,10:08:12
10,TFIT16300632,25/1/2018,11:54:24
11,TFIT06211118,25/1/2018,08:55:01
12,TUVT06170419,25/1/2018,09:50:15
13,TFIT16280428,25/1/2018,10:31:08
14,TFIT11241018,25/1/2018,10:38:03
15,TUVT11070525,25/1/2018,12:41:16
16,TFIT06110919,25/1/2018,09:07:09
17,TUVT20250333,25/1/2018,09:54:40
18,TFIT15240720,25/1/2018,11:42:48
19,TUVT10100321,25/1/2018,12:24:44
20,TFIT16240724,25/1/2018,08:29:23
21,TUVT06170419,25/1/2018,11:07:07
22,TUVT10100321,25/1/2018,08:28:31
23,TUVT11070525,25/1/2018,08:32:27
24,TUVT17230223,25/1/2018,12:19:49
25,TUVT11170327,25/1/2018,09:37:11
1,TFIT08261125,26/1/2018,09:03:54
2,TUVT17230223,26/1/2018,08:58:25
3,TUVT20040435,26/1/2018,12:01:42
4,TFIT16300632,26/1/2018,11:45:15
5,TUVT11170327,26/1/2018,10:49:22
6,TFIT15260826,26/1/2018,10:43:51
7,TUVT11170327,26/1/2018,12:47:37
8,TUVT17230223,26/1/2018,12:14:50
9,TUVT17230223,26/1/2018,09:11:27
10,TFIT15260826,26/1/2018,08:43:07
11,TFIT16280428,26/1/2018,08:44:48
12,TFIT10040522,26/1/2018,08:55:25
13,TFIT06211118,26/1/2018,09:14:01
14,TFIT16180930,26/1/2018,11:15:17
15,TUVT10100321,26/1/2018,12:43:14
16,TUVT11070525,26/1/2018,09:42:42
17,TUVT06170419,26/1/2018,09:27:44
18,TUVT20250333,26/1/2018,12:20:59
19,TFIT15240720,26/1/2018,10:48:43
20,TFIT06110919,26/1/2018,11:14:35
21,TUVT20040435,26/1/2018,08:03:52
22,TUVT20250333,26/1/2018,09:37:32
23,TUVT11170327,26/1/2018,10:10:51
24,TUVT06170419,26/1/2018,09:48:34
25,TUVT11070525,26/1/2018,12:07:34
1,TUVT17230223,29/1/2018,09:41:41
2,TFIT08261125,29/1/2018,10:32:53
3,TFIT16300632,29/1/2018,11:29:55
4,TUVT20040435,29/1/2018,10:36:32
5,TUVT11170327,29/1/2018,10:38:18
6,TFIT15260826,29/1/2018,09:28:45
7,TUVT11170327,29/1/2018,08:12:58
8,TUVT20040435,29/1/2018,11:27:54
9,TUVT17230223,29/1/2018,12:42:27
10,TFIT15260826,29/1/2018,12:41:49
11,TFIT06110919,29/1/2018,10:35:22
12,TFIT16180930,29/1/2018,11:10:34
13,TFIT06211118,29/1/2018,09:48:02
14,TFIT15240720,29/1/2018,09:56:54
15,TUVT20250333,29/1/2018,08:26:54
16,TFIT11241018,29/1/2018,10:18:03
17,TUVT11070525,29/1/2018,12:46:37
18,TFIT16240724,29/1/2018,09:19:30
19,TUVT10100321,29/1/2018,12:54:35
20,TUVT06170419,29/1/2018,10:46:55
21,TUVT10100321,29/1/2018,11:46:59
22,TUVT11170327,29/1/2018,11:22:28
23,TUVT17230223,29/1/2018,11:20:57
24,TUVT11070525,29/1/2018,11:46:59
25,TUVT20250333,29/1/2018,12:16:28
1,TUVT17230223,30/1/2018,10:03:02
2,TUVT20040435,30/1/2018,10:00:35
3,TFIT16300632,30/1/2018,08:59:40
4,TFIT15260826,30/1/2018,11:46:55
5,TFIT08261125,30/1/2018,10:21:35
6,TUVT11170327,30/1/2018,08:08:42
7,TUVT17230223,30/1/2018,12:53:27
8,TUVT17230223,30/1/2018,09:59:12
9,TUVT11170327,30/1/2018,09:48:51
10,TUVT20040435,30/1/2018,11:11:25
11,TUVT20250333,30/1/2018,12:42:50
12,TFIT16180930,30/1/2018,11:45:50
13,TFIT15240720,30/1/2018,08:45:37
14,TUVT06170419,30/1/2018,11:02:48
15,TFIT11241018,30/1/2018,11:03:39
16,TUVT10100321,30/1/2018,11:33:55
17,TFIT06211118,30/1/2018,10:41:46
18,TFIT16240724,30/1/2018,12:58:07
19,TFIT10040522,30/1/2018,09:24:42
20,TFIT16280428,30/1/2018,10:49:38
21,TUVT06170419,30/1/2018,12:31:49
22,TUVT20250333,30/1/2018,10:47:25
23,TUVT11170327,30/1/2018,10:47:12
24,TUVT11070525,30/1/2018,09:03:52
25,TUVT17230223,30/1/2018,09:50:15
1,TFIT08261125,31/1/2018,08:11:21
2,TUVT20040435,31/1/2018,12:49:42
3,TUVT17230223,31/1/2018,12:02:50
4,TFIT15260826,31/1/2018,12:33:51
5,TUVT11170327,31/1/2018,10:01:51
6,TFIT16300632,31/1/2018,12:16:01
7,TFIT15260826,31/1/2018,09:10:09
8,TUVT20040435,31/1/2018,12:28:23
9,TFIT08261125,31/1/2018,10:28:20
10,TUVT17230223,31/1/2018,09:48:31
11,TUVT20250333,31/1/2018,11:14:57
12,TFIT15240720,31/1/2018,10:01:55
13,TFIT11241018,31/1/2018,09:17:12
14,TFIT16280428,31/1/2018,08:26:42
15,TFIT10040522,31/1/2018,09:45:48
16,TFIT06110919,31/1/2018,11:19:02
17,TUVT06170419,31/1/2018,10:42:48
18,TUVT10100321,31/1/2018,08:29:28
19,TUVT11070525,31/1/2018,09:32:00
20,TFIT16240724,31/1/2018,08:42:25
21,TUVT20250333,31/1/2018,10:12:20
22,TUVT11170327,31/1/2018,11:30:23
23,TUVT10100321,31/1/2018,08:26:31
24,TUVT17230223,31/1/2018,10:43:22
25,TUVT20040435,31/1/2018,08:11:48
1,TFIT15260826,1/2/2018,09:57:51
2,TFIT16300632,1/2/2018,11:45:19
3,TFIT08261125,1/2/2018,08:11:38
4,TUVT20040435,1/2/2018,12:04:51
5,TUVT11170327,1/2/2018,08:21:49
6,TUVT17230223,1/2/2018,08:08:12
7,TFIT15260826,1/2/2018,10:50:02
8,TUVT20040435,1/2/2018,12:00:15
9,TUVT17230223,1/2/2018,11:51:28
10,TUVT17230223,1/2/2018,12:26:40
11,TFIT15240720,1/2/2018,10:38:05
12,TUVT10100321,1/2/2018,08:50:01
13,TFIT10040522,1/2/2018,12:04:08
14,TFIT11241018,1/2/2018,12:30:20
15,TUVT20250333,1/2/2018,08:23:07
16,TFIT16280428,1/2/2018,08:42:14
17,TFIT16180930,1/2/2018,11:38:28
18,TUVT11070525,1/2/2018,09:59:11
19,TUVT06170419,1/2/2018,12:01:34
20,TFIT06110919,1/2/2018,10:13:13
21,TUVT11070525,1/2/2018,11:34:23
22,TUVT20250333,1/2/2018,08:02:26
23,TUVT20040435,1/2/2018,12:45:14
24,TUVT11170327,1/2/2018,11:46:42
25,TUVT17230223,1/2/2018,10:20:21
1,TUVT20040435,2/2/2018,10:00:25
2,TUVT11170327,2/2/2018,10:26:23
3,TFIT15260826,2/2/2018,10:21:05
4,TFIT08261125,2/2/2018,11:10:47
5,TUVT17230223,2/2/2018,08:46:22
6,TFIT16300632,2/2/2018,09:37:14
7,TFIT16300632,2/2/2018,12:17:36
8,TFIT16300632,2/2/2018,10:40:29
9,TFIT08261125,2/2/2018,08:20:28
10,TFIT08261125,2/2/2018,12:45:48
11,TUVT20250333,2/2/2018,12:43:43
12,TFIT15240720,2/2/2018,11:17:52
13,TFIT10040522,2/2/2018,11:10:48
14,TUVT06170419,2/2/2018,12:36:44
15,TFIT11241018,2/2/2018,11:29:59
16,TFIT16240724,2/2/2018,10:16:58
17,TFIT16280428,2/2/2018,09:03:15
18,TFIT06110919,2/2/2018,12:45:45
19,TUVT11070525,2/2/2018,09:52:41
20,TUVT10100321,2/2/2018,09:09:59
21,TUVT06170419,2/2/2018,10:32:20
22,TUVT17230223,2/2/2018,11:10:04
23,TUVT20250333,2/2/2018,10:21:22
24,TUVT20040435,2/2/2018,08:28:43
25,TUVT11070525,2/2/2018,11:00:30
1,TFIT08261125,5/2/2018,09:22:25
2,TUVT17230223,5/2/2018,09:04:45
3,TUVT11170327,5/2/2018,11:57:49
4,TFIT15260826,5/2/2018,09:03:22
5,TUVT20040435,5/2/2018,11:54:45
6,TFIT16300632,5/2/2018,11:11:37
7,TFIT15260826,5/2/2018,11:17:48
8,TUVT11170327,5/2/2018,12:35:06
9,TFIT15260826,5/2/2018,10:44:05
10,TFIT16300632,5/2/2018,09:54:43
11,TUVT06170419,5/2/2018,12:01:45
12,TFIT15240720,5/2/2018,11:15:41
13,TUVT10100321,5/2/2018,09:28:18
14,TFIT06110919,5/2/2018,09:37:07
15,TFIT16180930,5/2/2018,11:06:10
16,TUVT20250333,5/2/2018,10:04:33
17,TFIT16240724,5/2/2018,10:31:01
18,TFIT06211118,5/2/2018,10:27:01
19,TFIT11241018,5/2/2018,09:06:10
20,TFIT16280428,5/2/2018,12:25:05
21,TUVT20040435,5/2/2018,09:40:26
22,TUVT10100321,5/2/2018,10:33:52
23,TUVT11070525,5/2/2018,08:48:32
24,TUVT06170419,5/2/2018,09:18:09
25,TUVT11170327,5/2/2018,08:34:15
1,TUVT17230223,6/2/2018,09:54:46
2,TFIT08261125,6/2/2018,09:15:40
3,TFIT16300632,6/2/2018,10:35:28
4,TFIT15260826,6/2/2018,10:03:11
5,TUVT20040435,6/2/2018,11:41:23
6,TUVT11170327,6/2/2018,11:30:07
7,TUVT11170327,6/2/2018,11:52:54
8,TUVT17230223,6/2/2018,10:10:38
