observation,name,date,time
1,TUVT10100321,2/1/2018,12:20:08
2,TUVT11170327,2/1/2018,10:57:49
3,TFIT10040522,2/1/2018,11:05:27
4,TFIT16300632,2/1/2018,08:58:16
5,TFIT15260826,2/1/2018,08:22:12
6,TUVT20040435,2/1/2018,08:41:13
7,TUVT20040435,2/1/2018,09:23:17
8,TUVT20040435,2/1/2018,10:41:56
9,TUVT20040435,2/1/2018,12:27:45
10,TFIT15260826,2/1/2018,11:22:42
11,TFIT06211118,2/1/2018,08:27:37
12,TFIT16240724,2/1/2018,12:15:25
13,TFIT15240720,2/1/2018,09:26:48
14,TUVT06170419,2/1/2018,11:58:36
15,TFIT16280428,2/1/2018,09:55:42
16,TFIT16180930,2/1/2018,12:59:45
17,TUVT11070525,2/1/2018,09:50:49
18,TFIT06110919,2/1/2018,10:40:09
19,EMPTY,2/1/2018,10:16:44
20,EMPTY,2/1/2018,08:44:54
21,TUVT20040435,2/1/2018,08:35:16
22,TUVT06170419,2/1/2018,10:32:34
23,TUVT10100321,2/1/2018,11:49:44
24,TUVT20250333,2/1/2018,08:32:17
25,TUVT17230223,2/1/2018,09:35:46
1,TUVT20040435,3/1/2018,12:29:58
2,TFIT16300632,3/1/2018,08:53:19
3,TUVT10100321,3/1/2018,11:02:25
4,TFIT15260826,3/1/2018,11:09:49
5,TFIT10040522,3/1/2018,09:52:25
6,TUVT11170327,3/1/2018,09:33:58
7,TFIT16300632,3/1/2018,08:13:09
8,TFIT15260826,3/1/2018,12:19:31
9,TFIT16300632,3/1/2018,08:48:29
10,TUVT20040435,3/1/2018,12:39:41
11,TFIT16280428,3/1/2018,12:51:25
12,TFIT15240720,3/1/2018,10:23:35
13,TUVT11070525,3/1/2018,08:58:10
14,TUVT17230223,3/1/2018,08:28:16
15,TFIT16180930,3/1/2018,12:48:47
16,TFIT06211118,3/1/2018,11:45:50
17,TUVT06170419,3/1/2018,08:30:42
18,TFIT06110919,3/1/2018,09:00:56
19,EMPTY,3/1/2018,09:25:01
20,EMPTY,3/1/2018,10:30:34
21,TUVT20250333,3/1/2018,08:17:58
22,TUVT20040435,3/1/2018,08:23:47
23,TUVT11070525,3/1/2018,09:37:08
24,TUVT11170327,3/1/2018,09:01:24
25,TUVT10100321,3/1/2018,09:35:52
1,TFIT16300632,4/1/2018,09:14:12
2,TUVT11170327,4/1/2018,12:26:27
3,TFIT15260826,4/1/2018,09:18:50
4,TFIT10040522,4/1/2018,11:53:30
5,TUVT20040435,4/1/2018,09:03:43
6,TUVT17230223,4/1/2018,11:12:28
7,TUVT20040435,4/1/2018,09:49:02
8,TUVT11170327,4/1/2018,12:48:53
9,TUVT11170327,4/1/2018,10:05:49
10,TUVT11170327,4/1/2018,10:09:43
11,TUVT20250333,4/1/2018,10:59:02
12,TFIT16280428,4/1/2018,12:41:27
13,TFIT16180930,4/1/2018,12:37:00
14,TUVT10100321,4/1/2018,10:48:20
15,TUVT06170419,4/1/2018,08:18:30
16,TFIT15240720,4/1/2018,08:06:38
17,TFIT06211118,4/1/2018,09:57:45
18,TFIT11241018,4/1/2018,12:05:30
19,TFIT16240724,4/1/2018,10:58:32
20,TFIT06110919,4/1/2018,09:22:41
21,TUVT11070525,4/1/2018,12:48:31
22,TUVT11170327,4/1/2018,08:33:23
23,TUVT10100321,4/1/2018,10:36:54
24,TUVT20250333,4/1/2018,11:10:35
25,TUVT20040435,4/1/2018,11:29:35
1,TFIT10040522,5/1/2018,08:04:21
2,TFIT15260826,5/1/2018,11:04:01
3,TUVT17230223,5/1/2018,11:27:04
4,TUVT20040435,5/1/2018,09:26:41
5,TFIT16300632,5/1/2018,10:16:31
6,TUVT11170327,5/1/2018,11:13:07
7,TFIT10040522,5/1/2018,09:53:58
8,TFIT16300632,5/1/2018,12:05:13
9,TFIT16300632,5/1/2018,08:18:49
10,TFIT10040522,5/1/2018,08:37:54
11,TFIT06211118,5/1/2018,11:14:05
12,TUVT20250333,5/1/2018,08:35:39
13,TFIT16280428,5/1/2018,08:01:19
14,TUVT10100321,5/1/2018,09:19:29
15,TUVT11070525,5/1/2018,08:42:21
16,TUVT06170419,5/1/2018,10:09:10
17,TFIT06110919,5/1/2018,11:42:29
18,TFIT16180930,5/1/2018,11:06:36
19,TFIT15240720,5/1/2018,09:19:33
20,TFIT11241018,5/1/2018,09:10:24
21,TUVT06170419,5/1/2018,08:45:46
22,TUVT17230223,5/1/2018,11:06:38
23,TUVT20250333,5/1/2018,10:24:59
24,TUVT10100321,5/1/2018,12:03:39
25,TUVT11070525,5/1/2018,11:40:58
1,TFIT15260826,9/1/2018,11:15:23
2,TFIT16300632,9/1/2018,08:30:39
3,TUVT17230223,9/1/2018,12:37:34
4,TUVT11170327,9/1/2018,10:25:09
5,TUVT20040435,9/1/2018,09:25:15
6,TFIT10040522,9/1/2018,11:59:34
7,TUVT11170327,9/1/2018,09:35:24
8,TUVT20040435,9/1/2018,08:47:10
9,TFIT16300632,9/1/2018,08:13:28
10,TFIT10040522,9/1/2018,10:50:05
11,TUVT20250333,9/1/2018,11:28:34
12,TUVT06170419,9/1/2018,12:27:13
13,TFIT16280428,9/1/2018,10:48:49
14,TFIT15240720,9/1/2018,09:20:13
15,TFIT06110919,9/1/2018,10:38:26
16,TFIT16180930,9/1/2018,08:04:19
17,TFIT16240724,9/1/2018,10:47:07
18,TUVT10100321,9/1/2018,12:53:27
19,TFIT06211118,9/1/2018,11:29:04
20,EMPTY,9/1/2018,08:37:08
21,TUVT20040435,9/1/2018,09:20:39
22,TUVT06170419,9/1/2018,12:52:11
23,TUVT11070525,9/1/2018,08:59:45
24,TUVT20250333,9/1/2018,10:18:58
25,TUVT11170327,9/1/2018,12:54:49
1,TFIT10040522,10/1/2018,09:37:59
2,TUVT17230223,10/1/2018,10:01:24
